productId,name,price,image,shortDescription,longDescription
1,Patagonia Capilene Cool Trail Shirt - Men's,3900,/images/Patagonia Capilene Cool Trail Shirt - Men's.jpeg,"What feels like cotton yet has the wicking efficiency of polyester for running, biking, traveling or all of the above in the same day? The men's Patagonia Capilene Cool Trail shirt.", "Made of 4 oz. polyester spun jersey that has a soft feel, a light weight and Polygiene® permanent odor control so you stay welcome among friends at the end of the day, Raglan sleeve construction with underarm gussets provides chafe-free comfort and range of motion, Comfortable self-fabric scoop neck wicks moisture and won't bind, Locker loop makes it easy to hang dry, No tags at neck for itch-free comfort, Droptail hem keeps length in place under a harness or hipbelt even during movement, P-6 woven label at left-front hem"
2,Patagonia P-6 Logo Responsibili-Tee T-Shirt - Men's,3500,/images/Patagonia P-6 Logo Responsibili-Tee T-Shirt - Men's.jpeg,"Why buy any other T-shirt? When you purchase the comfy men's Patagonia P-6 Logo Responsibili-Tee t-shirt, you help divert 4.8 plastic bottles and 4.2 oz. of fabric scrap from the waste stream.", "Manufacturing processes cut landfill and incinerator waste and reduce the need for petroleum to make raw materials, Patagonia original artwork is screen printed with PVC- and phthalate-free inks, Comfortable taped shoulder seams allow the T-shirt to retain its fit, Fair Trade Certified™ sewing"
3,Patagonia P-6 Logo Responsibili-Tee Long-Sleeve Shirt - Men's,4500,/images/Patagonia P-6 Logo Responsibili-Tee Long-Sleeve Shirt - Men's.jpeg, "Made from sturdy recycled cotton and post-consumer recycled polyester, the men's Patagonia LS P-6 Logo Responsibili-Tee long-sleeve shirt has taped shoulder seams for comfort and fit retention.", "Fabric reduces the need for petroleum to make raw materials and cuts landfill and incinerator waste, Patagonia original art is screen-printed using inks that are PVC- and phthalate-free, Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods, Made with 0.26 pounds of scrap fabric and 4.8 discarded bottles, Producing this 100% recycled long-sleeve T-shirt uses 96% less water and creates 45% less CO2 than a conventional cotton T-shirt"
4,Patagonia Line Logo Ridge Pocket Responsibili-Tee T-Shirt - Men's,3900,/images/Patagonia Line Logo Ridge Pocket Responsibili-Tee T-Shirt - Men's.jpeg, "The men's Patagonia Line Logo Ridge Pocket Responsibili-Tee T-shirt is made from a comfortable and sturdy 50/50 blend of recycled cotton/postconsumer recycled polyester.", "Made with 0.26 pounds of scrap fabric and 4.8 discarded bottles; producing this 100% recycled tee uses 96% less water and creates 45% less CO2 than a conventional cotton tee, Recycled fabric reduces the need for petroleum to make raw materials, and cuts landfill and incinerator waste, Patagonia original art is screen-printed using inks that are PVC- and phthalate-free, Pocket at left holds valuables, Taped shoulder seams lend comfort and fit retention, Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods"
5,Patagonia Organic Cotton Midweight Long-Sleeve Pocket T-Shirt - Men's,5900,/images/Patagonia Organic Cotton Midweight Long-Sleeve Pocket T-Shirt - Men's.jpeg, "Soft, comfortable and easy on the skin, the men's Patagonia Organic Cotton Midweight Pocket long-sleeve T-shirt is one you'll reach for season after season and year after year.", "Breathable, organically grown cotton knit jersey has a weight that feels substantial while remaining relaxed and supple, Set-in sleeve construction provides chafe-free comfort and helps preserve shoulder mobility, Whipstitch detailing on the sleeves and bottom hem increase durability for day after day wear, Patch pocket and straight hem goes with most every situation, from casual hangout to the workplace, Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods"
6,Patagonia Fitz Roy Scope Responsibili-Tee T-Shirt - Men's,4500,/images/Patagonia Fitz Roy Scope Responsibili-Tee T-Shirt - Men's.jpeg,"The Patagonia Fitz Roy Scope Responsibili-Tee is made with 100% recycled fabrics. It features a large, colorful Fitz Roy graphic on the back and a smaller mountain logo at left chest.", "Using recycled materials (including 0.26 lbs. of scrap fabric and 4.8 discarded bottles) reduces the petroleum needed to make raw material and cuts landfill/incinerator waste, Producing this 100% recycled T-shirt uses 96% less water and creates 45% less CO2 than a conventional cotton T-shirt, Taped shoulder seams for comfort and fit retention, Original artwork by Neil Hubert is screen-printed using inks that are PVC- and phthalate-free, Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods"
7,Patagonia Terrebonne Jogger Pants - Men's,7000,/images/Patagonia Terrebonne Jogger Pants - Men's.jpeg, "Run, boulder and transition from chaturanga to upward-facing dog with ease in the Patagonia Terrebonne Jogger pants, which feature a recycled polyester ripstop that breathes well and dries in a flash.", "Recycled polyester ripstop has a durable water repellent (DWR) to help water bead up and roll of, Articulated knees enhance mobility, Stretch-knit waistband adjusts with a drawcord, 2 drop-in front pockets and single rear zippered pocket, Lightweight, compressible fabric allows the pants to pack down into their own rear pocket, Reflective logo boosts visibility"
8,Patagonia Performance Twill Jeans - Men's,9900,/images/Patagonia Performance Twill Jeans - Men's.jpeg, "Enjoy the comfort of jeans combined with the performance you would expect from technical outdoor clothing. Patagonia Performance Twill jeans shrug off water and pull moisture away from your skin.", "Made from solid-weft organic cotton and polyester T400 comfort stretch twill with a wicking finish that pulls moisture from the skin and repels water, Classic 5-pocket styling with antique nickel shank button closure, zip fly, double-needle belt loops, printed twill pocket bags and antique nickel piton rivets throughout, Pocket-edge seams are bound for a strong, clean finish; lower portions of both rear pockets are reinforced for durability, Fair Trade Certified sewing means the people who made these jeans earned a premium for their labor, Slim-straight fit sits on the waist with a regular rise, best for lean-to-medium builds, Not too loose or too tight through the seat and thighs; cut straight from the knees to the ankles"
9,Patagonia Quandary Shorts - Men's 10" Inseam, 6900,/images/Patagonia Quandary Shorts - Men's 10" Inseam.jpeg, "Made for the kinetics of backpacking and travel, the men's Patagonia Quandary shorts help you push through serious bushwhacking and unexpected stream crossings with stretchy, durable UPF 50+ fabric.", "Stretch fabric features a durable water repellent (DWR) finish and UPF 50+ sun protection, Curved waistband follows the natural shape of the hips and provides a contoured fit to help keep shorts in place during movement, Gusseted crotch allows full range of motion, 2 handwarmer pockets; right coin pocket; 2 rear pockets; right thigh pocket with zipper closure, Metal button closure with zip fly"
10,Patagonia Skyline Traveler Pants - Men's, 11900,/images/Patagonia Skyline Traveler Pants - Men's.jpeg, "For the all-day motion of going places—or when your plan for the day is to stay put, the men's Patagonia Skyline Traveler pants offer comfort to meet the demands of long-distance travel.", "Midweight fabric blend of recycled nylon, polyester and spandex offers 4-way stretch that feels soft and forgiving, Durable water repellent (DWR) finish resists moisture, spilled coffee and mud, Smooth waistband is designed for all-day comfort with an elasticized back, classic flat front and drawcord to personalize the fit, Gusseted crotch allows full range of hip and leg motion, Cuffs with flat fronts and elasticized backs keep the hems out of your way, 2 slanted front pockets, 2 welted rear zippered pockets and a zippered thigh pocket hold your phone and other small essentials, Fair Trade Certified™ sewing means this was made in a Fair Trade approved facility, which promotes safe working conditions and sustainable livelihoods"
